"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_create_old_lead_silver_cash_contract_buy_back","tests","Tue May 20 16:11:12 MSK 2025","skipped","Tue May 20 16:11:12 MSK 2025","","test_add_lead_contract_buy_back","",""
"","113030","test_create_old_lead_laptop_cash_contract_buy_back","tests","Tue May 20 16:11:40 MSK 2025","failed","Tue May 20 16:13:33 MSK 2025","","test_add_lead_contract_buy_back","",""
"","6814","test_login_password_end_login_spase","tests","Tue May 20 16:26:22 MSK 2025","passed","Tue May 20 16:26:29 MSK 2025","","test_login","",""
"","21","test_delete_in_table_album","tests_DB","Tue May 20 16:30:19 MSK 2025","passed","Tue May 20 16:30:19 MSK 2025","","test_db","",""
"","171792","test_create_new_client_gold_cash_contract","tests","Tue May 20 16:08:17 MSK 2025","passed","Tue May 20 16:11:09 MSK 2025","","test_add_lead_contract","",""
"","21853","test_login_admin","tests","Tue May 20 16:24:05 MSK 2025","passed","Tue May 20 16:24:27 MSK 2025","","test_login","",""
"","0","test_login_short_password2","tests","Tue May 20 16:23:56 MSK 2025","skipped","Tue May 20 16:23:56 MSK 2025","","test_login","",""
"","10351","test_login_password_incorrect","tests","Tue May 20 16:25:24 MSK 2025","passed","Tue May 20 16:25:35 MSK 2025","","test_login","",""
"","126164","test_create_old_lead_silver_cash_contract","tests","Tue May 20 16:49:16 MSK 2025","failed","Tue May 20 16:51:22 MSK 2025","","test_add_lead_contract","",""
"","1","test_get_last_5_in_table_album","tests_DB","Tue May 20 16:30:19 MSK 2025","passed","Tue May 20 16:30:19 MSK 2025","","test_db","",""
"","18","test_insert_into_in_table_album","tests_DB","Tue May 20 16:30:19 MSK 2025","passed","Tue May 20 16:30:19 MSK 2025","","test_db","",""
"","0","test_01_sale_in_shop_product","tests.test_1_sale_in_shop","Tue May 20 16:45:23 MSK 2025","failed","Tue May 20 16:45:23 MSK 2025","","test_1_sale_in_shop","",""
"","13","test_get_table_album","tests_DB","Tue May 20 16:30:19 MSK 2025","passed","Tue May 20 16:30:19 MSK 2025","","test_db","",""
"","138442","test_create_old_lead_gold_cash_contract","tests","Tue May 20 16:46:28 MSK 2025","passed","Tue May 20 16:48:46 MSK 2025","","test_add_lead_contract","",""
"","103772","test_create_old_lead_laptop_cash_contract","tests","Tue May 20 16:51:45 MSK 2025","broken","Tue May 20 16:53:29 MSK 2025","","test_add_lead_contract","",""
"","78767","test_create_new_client_gold_cash_contract","","Tue May 20 16:53:52 MSK 2025","passed","Tue May 20 16:55:11 MSK 2025","","","",""
"","8703","test_login_incorrect","tests","Tue May 20 16:25:03 MSK 2025","passed","Tue May 20 16:25:12 MSK 2025","","test_login","",""
"","51098","test_add_silver_no_contract","tests","Tue May 20 16:20:13 MSK 2025","passed","Tue May 20 16:21:04 MSK 2025","","test_add_product_no_contract","",""
"","5794","test_login_short_password","tests","Tue May 20 16:24:47 MSK 2025","passed","Tue May 20 16:24:52 MSK 2025","","test_login","",""
"","61660","test_add_gold_no_contract","tests","Tue May 20 16:17:43 MSK 2025","passed","Tue May 20 16:18:45 MSK 2025","","test_add_product_no_contract","",""
"","216857","test_create_old_lead_car_cash_contract_buy_back","tests","Tue May 20 16:13:58 MSK 2025","broken","Tue May 20 16:17:35 MSK 2025","","test_add_lead_contract_buy_back","",""
"","60835","test_add_gold_qr_no_contract","tests","Tue May 20 16:18:56 MSK 2025","passed","Tue May 20 16:19:56 MSK 2025","","test_add_product_no_contract","",""
"","7905","test_login_password_end_login_incorrect","tests","Tue May 20 16:25:45 MSK 2025","passed","Tue May 20 16:25:53 MSK 2025","","test_login","",""
"","33738","test_add_laptop_no_contract","tests","Tue May 20 16:21:34 MSK 2025","passed","Tue May 20 16:22:08 MSK 2025","","test_add_product_no_contract","",""
"","7158","test_login_password_end_login_empty","tests","Tue May 20 16:26:05 MSK 2025","passed","Tue May 20 16:26:12 MSK 2025","","test_login","",""
"","0","test_create_old_lead_gold_cash_contract_buy_back","tests","Tue May 20 16:11:12 MSK 2025","skipped","Tue May 20 16:11:12 MSK 2025","","test_add_lead_contract_buy_back","",""
"","0","test_create_old_lead_silver_cash_contract","","Tue May 20 15:43:38 MSK 2025","skipped","Tue May 20 15:43:38 MSK 2025","","","",""
"","80180","test_add_car_no_contract","tests","Tue May 20 16:22:33 MSK 2025","passed","Tue May 20 16:23:53 MSK 2025","","test_add_product_no_contract","",""
"","199391","test_add_new_person_in_person_page","tests.test_person_page","Tue May 20 16:26:56 MSK 2025","broken","Tue May 20 16:30:16 MSK 2025","","test_add_person_in_person_page","",""
"","0","test_login_admin2","tests","Tue May 20 16:23:56 MSK 2025","skipped","Tue May 20 16:23:56 MSK 2025","","test_login","",""
